# 现代汉语词典（第7版）-2016年
# 原始词条：70,101（合并后67,439）
#
# 字词	序号	完整字词	拼音

驴唇不对马嘴	33668	驴唇不对马嘴	lǘchún bù duì mǎzuǐ
驴打滚儿	33669	驴打滚儿	lǘdǎgǔnr
驴肝肺	33670	驴肝肺	lǘgānfèi
驴骡	33671	驴骡	lǘluó
驴年马月	33672	驴年马月	lǘnián-mǎyuè
驴皮胶	33673	驴皮胶	lǘpíjiāo
驴皮影	33674	驴皮影	lǘpíyǐng
驴子	33675	驴子	lǘ·zi
闾	33676	闾（閭）	lǘ
闾里	33677	闾里	lǘlǐ
闾丘	33678	闾丘	Lǘqiū
闾巷	33679	闾巷	lǘxiàng
闾阎	33680	闾阎	lǘyán
闾左	33681	闾左	lǘzuǒ
榈	33682	榈（櫚）	lǘ
𦝼	33683	𦝼（膢）	lǘ
吕	33684	吕	lǚ
吕剧	33685	吕剧	lǚjù
吕宋烟	33686	吕宋烟	lǚsòngyān
侣	33687	侣	lǚ
侣伴	33688	侣伴	lǚbàn
捋	33689	捋	lǚ
梠	33690	梠	lǚ
旅	33691	旅1	lǚ
旅	33692	旅2	lǚ
旅伴	33693	旅伴	lǚbàn
旅程	33694	旅程	lǚchéng
旅次	33695	旅次	lǚcì
旅店	33696	旅店	lǚdiàn
旅费	33697	旅费	lǚfèi
旅馆	33698	旅馆	lǚguǎn
旅进旅退	33699	旅进旅退	lǚjìn-lǚtuì
旅居	33700	旅居	lǚjū
旅客	33701	旅客	lǚkè
旅鸟	33702	旅鸟	lǚniǎo
旅社	33703	旅社	lǚshè
旅舍	33704	旅舍	lǚshè
旅途	33705	旅途	lǚtú
旅行	33706	旅行	lǚxíng
旅行车	33707	旅行车	lǚxíngchē
旅行社	33708	旅行社	lǚxíngshè
旅游	33709	旅游	lǚyóu
旅游农业	33710	旅游农业	lǚyóu nóngyè
旅游鞋	33711	旅游鞋	lǚyóuxié
铝	33712	铝（鋁）	lǚ
铝粉	33713	铝粉	lǚfěn
稆	33714	稆（⁑穭）	lǚ
偻	33715	偻1（僂）	lǚ
偻	33716	偻2（僂）	lǚ
屡	33717	屡（屢）	lǚ
屡次	33718	屡次	lǚcì
屡次三番	33719	屡次三番	lǚcì-sānfān
屡见不鲜	33720	屡见不鲜	lǚjiàn-bùxiān
屡教不改	33721	屡教不改	lǚjiào-bùgǎi
屡屡	33722	屡屡	lǚlǚ
屡试不爽	33723	屡试不爽	lǚshì-bùshuǎng
缕	33724	缕（縷）	lǚ
缕陈	33725	缕陈	lǚchén
缕缕	33726	缕缕	lǚlǚ
缕述	33727	缕述	lǚshù
缕析	33728	缕析	lǚxī
膂	33729	膂	lǚ
膂力	33730	膂力	lǚlì
褛	33731	褛（褸）	lǚ
履	33732	履	lǚ
履带	33733	履带	lǚdài
履历	33734	履历	lǚlì
履任	33735	履任	lǚrèn
履险如夷	33736	履险如夷	lǚxiǎn-rúyí
履新	33737	履新	lǚxīn
履行	33738	履行	lǚxíng
履约	33739	履约	lǚyuē
履职	33740	履职	lǚzhí
垏	33741	垏	lǜ
律	33742	律	lǜ
律动	33743	律动	lǜdòng
律己	33744	律己	lǜjǐ
律例	33745	律例	lǜlì
律令	33746	律令	lǜlìng
律吕	33747	律吕	lǜlǚ
律师	33748	律师	lǜshī
律诗	33749	律诗	lǜshī
律条	33750	律条	lǜtiáo
律宗	33751	律宗	lǜzōng
𤝽	33752	𤝽	lǜ
虑	33753	虑（慮）	lǜ
菉	33754	菉	lǜ
菉豆	33755	菉豆	lǜdòu
率	33756	率	lǜ
绿	33757	绿（緑）	lǜ
绿菜花	33758	绿菜花	lǜcàihuā
绿茶	33759	绿茶	lǜchá
绿灯	33760	绿灯	lǜdēng
绿地	33761	绿地	lǜdì
绿豆	33762	绿豆（菉豆）	lǜdòu
绿肥	33763	绿肥	lǜféi
绿肺	33764	绿肺	lǜfèi
绿化	33765	绿化	lǜhuà
绿卡	33766	绿卡	lǜkǎ
绿篱	33767	绿篱	lǜlí
绿帽子	33768	绿帽子	lǜmào·zi
绿内障	33769	绿内障	lǜnèizhàng
绿盘	33770	绿盘	lǜpán
绿皮书	33771	绿皮书	lǜpíshū
绿茸茸	33772	绿茸茸	lǜróngróng
绿色	33773	绿色	lǜsè
绿色壁垒	33774	绿色壁垒	lǜsè bìlěi
绿色标志	33775	绿色标志	lǜsè biāozhì
绿色食品	33776	绿色食品	lǜsè shípǐn
绿色通道	33777	绿色通道	lǜsè tōngdào
绿生生	33778	绿生生	lǜshēngshēng
绿视率	33779	绿视率	lǜshìlǜ
绿松石	33780	绿松石	lǜsōngshí
绿头巾	33781	绿头巾	lǜtóujīn
绿头鸭	33782	绿头鸭	lǜtóuyā
绿阴	33783	绿阴	lǜyīn
绿茵	33784	绿茵	lǜyīn
绿茵茵	33785	绿茵茵	lǜyīnyīn
绿荫	33786	绿荫	lǜyīn
绿莹莹	33787	绿莹莹	lǜyíngyíng
绿油油	33788	绿油油	lǜyóuyóu（口语中也读lǜyōuyōu）
绿洲	33789	绿洲	lǜzhōu
绿柱石	33790	绿柱石	lǜzhùshí
葎	33791	葎	lǜ
葎草	33792	葎草	lǜcǎo
氯	33793	氯	lǜ
氯纶	33794	氯纶	lǜlún
氯气	33795	氯气	lǜqì
滤	33796	滤（濾）	lǜ
滤波	33797	滤波	lǜbō
滤尘	33798	滤尘	lǜchén
滤器	33799	滤器	lǜqì
滤色镜	33800	滤色镜	lǜsèjìng
滤液	33801	滤液	lǜyè
滤渣	33802	滤渣	lǜzhā
滤纸	33803	滤纸	lǜzhǐ
𮣶	33804	𮣶（鑢）	lǜ
峦	33805	峦（巒）	luán
峦嶂	33806	峦嶂	luánzhàng
孪	33807	孪（孿）	luán
孪生	33808	孪生	luánshēng
娈	33809	娈（孌）	luán
栾	33810	栾（欒）	luán
挛	33811	挛（攣）	luán
挛缩	33812	挛缩	luánsuō
鸾	33813	鸾（鸞）	luán
鸾俦	33814	鸾俦	luánchóu
鸾凤	33815	鸾凤	luánfèng
脔	33816	脔（臠）	luán
脔割	33817	脔割	luángē
𪢮	33818	𪢮（圞、⁑圝）	luán
滦	33819	滦（灤）	Luán
銮	33820	銮（鑾）	luán
銮驾	33821	銮驾	luánjià
銮铃	33822	銮铃	luánlíng
銮舆	33823	銮舆	luányú
卵	33824	卵	luǎn
卵白	33825	卵白	luǎnbái
卵巢	33826	卵巢	luǎncháo
卵黄	33827	卵黄	luǎnhuáng
卵块	33828	卵块	luǎnkuài
卵磷脂	33829	卵磷脂	luǎnlínzhī
卵泡	33830	卵泡	luǎnpāo
卵生	33831	卵生	luǎnshēng
卵石	33832	卵石	luǎnshí
卵胎生	33833	卵胎生	luǎntāishēng
卵翼	33834	卵翼	luǎnyì
卵用鸡	33835	卵用鸡	luǎnyòngjī
卵用鸭	33836	卵用鸭	luǎnyòngyā
卵子	33837	卵子	luǎnzǐ
卵子	33838	卵子	luǎn·zi
乱	33839	乱（亂）	luàn
乱兵	33840	乱兵	luànbīng
乱臣	33841	乱臣	luànchén
乱纷纷	33842	乱纷纷	luànfēnfēn
乱坟岗	33843	乱坟岗	luànféngǎng
乱哄哄	33844	乱哄哄	luànhōnghōng
乱乎	33845	乱乎	luàn·hu
乱糊	33846	乱糊	luàn·hu
乱局	33847	乱局	luànjú
乱来	33848	乱来	luànlái
乱离	33849	乱离	luànlí
乱伦	33850	乱伦	luànlún
乱码	33851	乱码	luànmǎ
乱民	33852	乱民	luànmín
乱蓬蓬	33853	乱蓬蓬	luànpéngpéng（口语中也读luànpēngpēng）
乱七八糟	33854	乱七八糟	luànqībāzāo
乱世	33855	乱世	luànshì
乱弹	33856	乱弹	luàntán
乱弹琴	33857	乱弹琴	luàntánqín
乱套	33858	乱套	luàn//tào
乱腾	33859	乱腾	luàn·teng
乱腾腾	33860	乱腾腾	luànténgténg（口语中也读luàntēngtēng）
乱象	33861	乱象	luànxiàng
乱营	33862	乱营	luàn//yíng
乱葬岗子	33863	乱葬岗子	luànzàng-gǎng·zi
乱糟糟	33864	乱糟糟	luànzāozāo
乱真	33865	乱真	luànzhēn
乱子	33866	乱子	luàn·zi
䂮	33867	䂮	lüè
掠	33868	掠	lüè
掠夺	33869	掠夺	lüèduó
掠夺婚	33870	掠夺婚	lüèduóhūn
掠美	33871	掠美	lüèměi
掠取	33872	掠取	lüèqǔ
掠视	33873	掠视	lüèshì
掠影	33874	掠影	lüèyǐng
略	33875	略1（⁎畧）	lüè
略	33876	略2（⁎畧）	lüè
略	33877	略3（⁎畧）	lüè
略称	33878	略称	lüèchēng
略略	33879	略略	lüèlüè
略胜一筹	33880	略胜一筹	lüèshèng-yīchóu
略识之无	33881	略识之无	lüèshí-zhīwú
略图	33882	略图	lüètú
略微	33883	略微	lüèwēi
略为	33884	略为	lüèwéi
略逊一筹	33885	略逊一筹	lüèxùn-yīchóu
略语	33886	略语	lüèyǔ
锊	33887	锊（鋝）	lüè
圙	33888	圙（⁑𠼟）	lüè
抡	33889	抡（掄）	lūn
仑	33890	仑1（侖）	lún
仑	33891	仑2（侖、⁎崙、⁎崘）	lún
伦	33892	伦（倫）	lún
伦巴	33893	伦巴	lúnbā
伦比	33894	伦比	lúnbǐ
伦常	33895	伦常	lúncháng
伦次	33896	伦次	lúncì
伦理	33897	伦理	lúnlǐ
伦理学	33898	伦理学	lúnlǐxué
伦琴	33899	伦琴	lúnqín
伦琴射线	33900	伦琴射线	Lúnqín shèxiàn
论	33901	论（論）	Lún
抡	33902	抡（掄）	lún
囵	33903	囵（圇）	lún
沦	33904	沦（淪）	lún
沦肌浃髓	33905	沦肌浃髓	lúnjī-jiāsuǐ
沦落	33906	沦落	lúnluò
沦没	33907	沦没	lúnmò
沦殁	33908	沦殁	lúnmò
沦丧	33909	沦丧	lúnsàng
沦亡	33910	沦亡	lúnwáng
沦陷	33911	沦陷	lúnxiàn
纶	33912	纶（綸）	lún
轮	33913	轮（輪）	lún
轮班	33914	轮班	lún//bān
轮埠	33915	轮埠	lúnbù
轮唱	33916	轮唱	lúnchàng
轮船	33917	轮船	lúnchuán
轮次	33918	轮次	lúncì
轮带	33919	轮带	lúndài
轮渡	33920	轮渡	lúndù
轮番	33921	轮番	lúnfān
轮辐	33922	轮辐	lúnfú
轮岗	33923	轮岗	lún//gǎng
轮毂	33924	轮毂	lúngǔ
轮候	33925	轮候	lúnhòu
轮滑	33926	轮滑	lúnhuá
轮换	33927	轮换	lúnhuàn
轮回	33928	轮回	lúnhuí
轮机	33929	轮机	lúnjī
轮奸	33930	轮奸	lúnjiān
轮空	33931	轮空	lúnkōng
轮廓	33932	轮廓	lúnkuò
轮流	33933	轮流	lúnliú
轮牧	33934	轮牧	lúnmù
轮生	33935	轮生	lúnshēng
轮胎	33936	轮胎	lúntāi
轮替	33937	轮替	lúntì
轮辋	33938	轮辋	lúnwǎng
轮系	33939	轮系	lúnxì
轮休	33940	轮休	lúnxiū
轮训	33941	轮训	lúnxùn
轮养	33942	轮养	lúnyǎng
轮椅	33943	轮椅	lúnyǐ
轮值	33944	轮值	lúnzhí
轮轴	33945	轮轴	lúnzhóu
轮转	33946	轮转	lúnzhuàn
轮子	33947	轮子	lún·zi
轮作	33948	轮作	lúnzuò
𬬭	33949	𬬭（錀）	lún
𫭢	33950	𫭢（埨）	lǔn
论	33951	论（論）	lùn
论辩	33952	论辩	lùnbiàn
论处	33953	论处	lùnchǔ
论敌	33954	论敌	lùndí
论点	33955	论点	lùndiǎn
论调	33956	论调	lùndiào
论断	33957	论断	lùnduàn
论及	33958	论及	lùnjí
论据	33959	论据	lùnjù
论理	33960	论理	lùnlǐ
论理学	33961	论理学	lùnlǐxué
论列	33962	论列	lùnliè
论难	33963	论难	lùnnàn
论述	33964	论述	lùnshù
论说	33965	论说	lùnshuō
论说文	33966	论说文	lùnshuōwén
论坛	33967	论坛	lùntán
论题	33968	论题	lùntí
论文	33969	论文	lùnwén
论战	33970	论战	lùnzhàn
论争	33971	论争	lùnzhēng
论证	33972	论证	lùnzhèng
论旨	33973	论旨	lùnzhǐ
论著	33974	论著	lùnzhù
论资排辈	33975	论资排辈	lùnzī-páibèi
论罪	33976	论罪	lùn//zuì
捋	33977	捋	luō
捋虎须	33978	捋虎须	luō hǔxū
啰	33979	啰（囉）	luō
啰唆	33980	啰唆	luō·suo
啰嗦	33981	啰嗦	luō·suo
落	33982	落	luō
罗	33983	罗1（羅）	luó
罗	33984	罗2（羅）	luó
罗布	33985	罗布	luóbù
罗非鱼	33986	罗非鱼	luófēiyú
罗锅	33987	罗锅	luóguō
罗锅	33988	罗锅	luó·guo
罗汉	33989	罗汉	luóhàn
罗汉豆	33990	罗汉豆	luóhàndòu
罗汉果	33991	罗汉果	luóhànguǒ
罗睺	33992	罗睺	luóhóu
罗经	33993	罗经	luójīng
罗掘	33994	罗掘	luójué
罗口	33995	罗口	luókǒu
罗勒	33996	罗勒	luólè
罗列	33997	罗列	luóliè
罗马公教	33998	罗马公教	Luómǎ gōngjiào
罗马数字	33999	罗马数字	Luómǎ shùzì
罗曼蒂克	34000	罗曼蒂克	luómàndìkè
罗曼史	34001	罗曼史	luómànshǐ
罗姆人	34002	罗姆人	Luómǔrén
罗盘	34003	罗盘	luópán
罗圈	34004	罗圈	luóquān
罗圈儿腿	34005	罗圈儿腿	luóquānrtuǐ
罗圈儿揖	34006	罗圈儿揖	luóquānryī
罗网	34007	罗网	luówǎng
罗纹	34008	罗纹	luówén
罗织	34009	罗织	luózhī
罗致	34010	罗致	luózhì
𫌨	34011	𫌨（覼）	luó
𫌨缕	34012	𫌨缕	luólǚ
㑩	34013	㑩（儸）	luó
萝	34014	萝（蘿）	luó
萝卜	34015	萝卜	luó·bo
萝卜花	34016	萝卜花	luó·bohuā
萝艻	34017	萝艻	luólè
萝藦	34018	萝藦	luómó
啰	34019	啰（囉）	luó
啰唣	34020	啰唣	luózào
逻	34021	逻（邏）	luó
逻辑	34022	逻辑	luó·jí
逻辑思维	34023	逻辑思维	luó·jí sīwéi
逻辑学	34024	逻辑学	luó·jíxué
脶	34025	脶（腡）	luó
猡	34026	猡（玀）	luó
𫗩	34027	𫗩（饠）	luó
𭹜	34028	𭹜（㼈）	luó
椤	34029	椤（欏）	luó
锣	34030	锣（鑼）	luó
锣鼓	34031	锣鼓	luógǔ
箩	34032	箩（籮）	luó
箩筐	34033	箩筐	luókuāng
骡	34034	骡（騾、⁎驘）	luó
骡子	34035	骡子	luó·zi
螺	34036	螺	luó
螺甸	34037	螺甸	luódiàn
螺钿	34038	螺钿	luódiàn
螺钉	34039	螺钉	luódīng
螺号	34040	螺号	luóhào
螺帽	34041	螺帽	luómào
螺母	34042	螺母	luómǔ
螺栓	34043	螺栓	luóshuān
螺丝	34044	螺丝	luósī
螺丝刀	34045	螺丝刀	luósīdāo
螺丝钉	34046	螺丝钉	luósīdīng
螺丝扣	34047	螺丝扣	luósīkòu
螺丝帽	34048	螺丝帽	luósīmào
螺丝母	34049	螺丝母	luósīmǔ
螺蛳	34050	螺蛳	luó·sī
螺纹	34051	螺纹	luówén
螺旋	34052	螺旋	luóxuán
螺旋桨	34053	螺旋桨	luóxuánjiǎng
螺旋式	34054	螺旋式	luóxuánshì
螺旋体	34055	螺旋体	luóxuántǐ
螺旋藻	34056	螺旋藻	luóxuánzǎo
倮	34057	倮	luǒ
蓏	34058	蓏	luǒ
裸	34059	裸（⁎躶、⁎臝）	luǒ
裸大麦	34060	裸大麦	luǒdàmài
裸官	34061	裸官	luǒguān
裸婚	34062	裸婚	luǒhūn
裸机	34063	裸机	luǒjī
裸捐	34064	裸捐	luǒjuān
裸考	34065	裸考	luǒkǎo
裸露	34066	裸露	luǒlù
裸麦	34067	裸麦	luǒmài
裸视	34068	裸视	luǒshì
裸体	34069	裸体	luǒtǐ
裸退	34070	裸退	luǒtuì
裸线	34071	裸线	luǒxiàn
裸眼	34072	裸眼	luǒyǎn
裸照	34073	裸照	luǒzhào
裸子植物	34074	裸子植物	luǒzǐ-zhíwù
瘰	34075	瘰	luǒ
瘰疬	34076	瘰疬	luǒlì
蠃	34077	蠃	luǒ
泺	34078	泺（濼）	Luò
荦	34079	荦（犖）	luò
荦荦	34080	荦荦	luòluò
咯	34081	咯	luò
洛	34082	洛	Luò
洛阳纸贵	34083	洛阳纸贵	luòyáng-zhǐguì
骆	34084	骆（駱）	luò
骆驼	34085	骆驼	luò·tuo
骆驼绒	34086	骆驼绒	luò·tuoróng
络	34087	络（絡）	luò
络腮胡子	34088	络腮胡子（落腮胡子）	luòsāi-hú·zi
络绎	34089	络绎	luòyì
珞	34090	珞	luò
珞巴族	34091	珞巴族	Luòbāzú
烙	34092	烙	luò
硌	34093	硌	luò
落	34094	落	luò
落败	34095	落败	luòbài
落榜	34096	落榜	luò//bǎng
落笔	34097	落笔	luòbǐ
落标	34098	落标	luò//biāo
落膘	34099	落膘	luò//biāo
落泊	34100	落泊	luòbó
落槽	34101	落槽	luò//cáo
落草	34102	落草1	luòcǎo
落草	34103	落草2	luòcǎo
落差	34104	落差	luòchā
落潮	34105	落潮	luò//cháo
落成	34106	落成	luòchéng
落槌	34107	落槌	luò//chuí
落单	34108	落单	luòdān
落得	34109	落得	luò·de
落地	34110	落地	luò//dì
落地窗	34111	落地窗	luòdìchuāng
落地灯	34112	落地灯	luòdìdēng
落地签证	34113	落地签证	luòdì qiānzhèng
落第	34114	落第	luò//dì
落发	34115	落发	luò//fà
落后	34116	落后	luò//hòu
落户	34117	落户	luò//hù
落花流水	34118	落花流水	luòhuā-liúshuǐ
落花生	34119	落花生	luòhuāshēng
落荒	34120	落荒	luòhuāng
落脚	34121	落脚	luò//jiǎo
落脚点	34122	落脚点	luòjiǎodiǎn
落井下石	34123	落井下石	luòjǐng-xiàshí
落空	34124	落空	luò//kōng
落款	34125	落款	luòkuǎn
落雷	34126	落雷	luòléi
落落	34127	落落	luòluò
落马	34128	落马	luò//mǎ
落寞	34129	落寞（落漠、落莫）	luòmò
落墨	34130	落墨	luòmò
落幕	34131	落幕	luò//mù
落难	34132	落难	luò//nàn
落聘	34133	落聘	luòpìn
落魄	34134	落魄	luòpò
落日	34135	落日	luòrì
落腮胡子	34136	落腮胡子	luòsāi-hú·zi
落生	34137	落生	luòshēng
落实	34138	落实	luòshí
落水	34139	落水	luò//shuǐ
落水狗	34140	落水狗	luòshuǐgǒu
落汤鸡	34141	落汤鸡	luòtāngjī
落套	34142	落套	luòtào
落体	34143	落体	luòtǐ
落拓	34144	落拓	luòtuò
落网	34145	落网	luò//wǎng
落伍	34146	落伍	luò//wǔ
落选	34147	落选	luò//xuǎn
落叶归根	34148	落叶归根	luòyè-guīgēn
落音	34149	落音	luò//yīn
落英	34150	落英	luòyīng
落账	34151	落账	luò//zhàng
落照	34152	落照	luòzhào
落座	34153	落座	luò//zuò
跞	34154	跞（躒）	luò
摞	34155	摞	luò
雒	34156	雒	Luò
漯	34157	漯	luò
啰	34158	啰（囉）	·luo
姆	34159	姆	m̄
姆妈	34160	姆妈	m̄mā
呒	34161	呒（嘸）	ḿ
呣	34162	呣	ḿ
呣	34163	呣	m̀
孖	34164	孖	mā
孖女	34165	孖女	mānǚ
孖仔	34166	孖仔	māzǎi
妈	34167	妈（媽）	mā
妈妈	34168	妈妈	mā·ma
妈祖	34169	妈祖	Māzǔ
抹	34170	抹（②⁑𢳀）	mā
抹布	34171	抹布	mābù
抹搭	34172	抹搭	mā·da
抹脸	34173	抹脸	mā//liǎn
蚂	34174	蚂（螞）	mā
蚂螂	34175	蚂螂	mā·lang
摩	34176	摩	mā
摩挲	34177	摩挲	mā·sa
吗	34178	吗（嗎）	má
麻	34179	麻1（①-③⁎蔴）	má
麻	34180	麻2	má
麻包	34181	麻包	mábāo
麻痹	34182	麻痹（痳痹）	mábì
麻布	34183	麻布	mábù
麻袋	34184	麻袋	mádài
麻刀	34185	麻刀	má·dao
麻捣	34186	麻捣	mádǎo
麻豆腐	34187	麻豆腐	mádòu·fu
麻烦	34188	麻烦	má·fan
麻纺	34189	麻纺	máfǎng
麻风	34190	麻风（痳风）	máfēng
麻花	34191	麻花1	máhuā
麻花	34192	麻花2	máhuā
麻黄	34193	麻黄	máhuáng
麻将	34194	麻将	májiàng
麻酱	34195	麻酱	májiàng
麻秸	34196	麻秸	má·jie
麻经儿	34197	麻经儿	májīngr
麻辣	34198	麻辣	málà
麻雷子	34199	麻雷子	máléi·zi
麻利	34200	麻利	má·li
麻栎	34201	麻栎	málì
麻脸	34202	麻脸	máliǎn
麻麻黑	34203	麻麻黑	má·mahēi（口语中也读mā·mahēi）
麻麻亮	34204	麻麻亮	má·maliàng（口语中也读mā·maliàng）
麻木	34205	麻木	mámù
麻木不仁	34206	麻木不仁	mámù-bùrén
麻雀	34207	麻雀	máquè
麻纱	34208	麻纱	máshā
麻绳	34209	麻绳	máshéng
麻石	34210	麻石	máshí
麻酥酥	34211	麻酥酥	másūsū
麻糖	34212	麻糖	mátáng
麻线	34213	麻线	máxiàn
麻药	34214	麻药	máyào
麻衣	34215	麻衣	máyī
麻油	34216	麻油	máyóu
麻渣	34217	麻渣	mázhā
麻疹	34218	麻疹（痳疹）	mázhěn
麻织品	34219	麻织品	mázhīpǐn
麻子	34220	麻子	má·zi
麻醉	34221	麻醉	mázuì
麻醉药	34222	麻醉药	mázuìyào
痳	34223	痳	má
痳痹	34224	痳痹	mábì
痳风	34225	痳风	máfēng
痳疹	34226	痳疹	mázhěn
蟆	34227	蟆（⁎蟇）	má
马	34228	马（馬）	mǎ
马鞍	34229	马鞍	mǎ’ān
马帮	34230	马帮	mǎbāng
马㼎儿	34231	马㼎儿	mǎbáor
马鞭	34232	马鞭	mǎbiān
马弁	34233	马弁	mǎbiàn
马鳖	34234	马鳖	mǎbiē
马不停蹄	34235	马不停蹄	mǎbùtíngtí
马车	34236	马车	mǎchē
马齿徒增	34237	马齿徒增	mǎchǐ-túzēng
马齿苋	34238	马齿苋	mǎchǐxiàn
马褡子	34239	马褡子	mǎdā·zi
马达	34240	马达	mǎdá
马大哈	34241	马大哈	mǎdàhā
马刀	34242	马刀	mǎdāo
马到成功	34243	马到成功	mǎdào-chénggōng
马道	34244	马道	mǎdào
马灯	34245	马灯	mǎdēng
马镫	34246	马镫	mǎdèng
马店	34247	马店	mǎdiàn
马队	34248	马队	mǎduì
马翻人仰	34249	马翻人仰	mǎfān-rényǎng
马粪纸	34250	马粪纸	mǎfènzhǐ
马蜂	34251	马蜂（蚂蜂）	mǎfēng
马蜂窝	34252	马蜂窝	mǎfēngwō
马夫	34253	马夫	mǎfū
马竿	34254	马竿	mǎgān
马革裹尸	34255	马革裹尸	mǎgé-guǒshī
马褂儿	34256	马褂儿	mǎguàr
马倌	34257	马倌	mǎguān
马锅头	34258	马锅头	mǎguōtóu
马海毛	34259	马海毛	mǎhǎimáo
马号	34260	马号1	mǎhào
马号	34261	马号2	mǎhào
马赫数	34262	马赫数	mǎhèshù
马后炮	34263	马后炮	mǎhòupào
马虎	34264	马虎（马糊）	mǎ·hu
马甲	34265	马甲	mǎjiǎ
马架	34266	马架	mǎjià
马鲛	34267	马鲛	mǎjiāo
马脚	34268	马脚	mǎjiǎo
马厩	34269	马厩	mǎjiù
马驹子	34270	马驹子	mǎjū·zi
马克	34271	马克	mǎkè
马克思列宁主义	34272	马克思列宁主义	Mǎkèsī-Lièníng zhǔyì
马克思主义	34273	马克思主义	Mǎkèsī zhǔyì
马口铁	34274	马口铁	mǎkǒutiě
马裤	34275	马裤	mǎkù
马裤呢	34276	马裤呢	mǎkùní
马快	34277	马快	mǎkuài
马拉松	34278	马拉松	mǎlāsōng
马拉松赛跑	34279	马拉松赛跑	mǎlāsōng sàipǎo
马兰	34280	马兰	mǎlán
马蓝	34281	马蓝	mǎlán
马力	34282	马力	mǎlì
马利亚	34283	马利亚	Mǎlìyà
马莲	34284	马莲	mǎlián
马列主义	34285	马列主义	Mǎ-Liè zhǔyì
马蔺	34286	马蔺	mǎlìn
马铃薯	34287	马铃薯	mǎlíngshǔ
马陆	34288	马陆	mǎlù
马鹿	34289	马鹿	mǎlù
马路	34290	马路	mǎlù
马路消息	34291	马路消息	mǎlù xiāo·xi
马路新闻	34292	马路新闻	mǎlù xīnwén
马骡	34293	马骡	mǎluó
马马虎虎	34294	马马虎虎	mǎmǎhūhū
马趴	34295	马趴	mǎpā
马匹	34296	马匹	mǎpǐ
马屁精	34297	马屁精	mǎpìjīng
马前卒	34298	马前卒	mǎqiánzú
马枪	34299	马枪	mǎqiāng
马赛克	34300	马赛克	mǎsàikè
马上	34301	马上	mǎshàng
马勺	34302	马勺	mǎsháo
马失前蹄	34303	马失前蹄	mǎshīqiántí
马首是瞻	34304	马首是瞻	mǎshǒushìzhān
马术	34305	马术	mǎshù
马太效应	34306	马太效应	Mǎtài xiàoyìng
马蹄	34307	马蹄	mǎtí
马蹄表	34308	马蹄表	mǎtíbiǎo
马蹄莲	34309	马蹄莲	mǎtílián
马蹄铁	34310	马蹄铁	mǎtítiě
马蹄形	34311	马蹄形	mǎtíxíng
马蹄袖	34312	马蹄袖	mǎtíxiù
马铁	34313	马铁	mǎtiě
马桶	34314	马桶	mǎtǒng
马头琴	34315	马头琴	mǎtóuqín
马尾辫	34316	马尾辫	mǎwěibiàn
马尾松	34317	马尾松	mǎwěisōng
马戏	34318	马戏	mǎxì
马靴	34319	马靴	mǎxuē
马仰人翻	34320	马仰人翻	mǎyǎng-rénfān
马缨花	34321	马缨花	mǎyīnghuā
马仔	34322	马仔	mǎzǎi
马贼	34323	马贼	mǎzéi
马扎	34324	马扎（马劄）	mǎzhá
马掌	34325	马掌	mǎzhǎng
马桩	34326	马桩	mǎzhuāng
马子	34327	马子	mǎ·zi
马鬃	34328	马鬃	mǎzōng
马醉木	34329	马醉木	mǎzuìmù
吗	34330	吗（嗎）	mǎ
吗啡	34331	吗啡	mǎfēi
犸	34332	犸（獁）	mǎ
玛	34333	玛（瑪）	Mǎ
玛𤧛脂	34334	玛𤧛脂	mǎdìzhī
玛钢	34335	玛钢	mǎgāng
玛瑙	34336	玛瑙	mǎnǎo
码	34337	码1（碼）	mǎ
码	34338	码2（碼）	mǎ
码	34339	码3（碼）	mǎ
码放	34340	码放	mǎfàng
码头	34341	码头	mǎ·tóu
码洋	34342	码洋	mǎyáng
码子	34343	码子	mǎ·zi
蚂	34344	蚂（螞）	mǎ
蚂蜂	34345	蚂蜂	mǎfēng
蚂蟥	34346	蚂蟥	mǎhuáng
蚂蚁	34347	蚂蚁	mǎyǐ
蚂蚁搬泰山	34348	蚂蚁搬泰山	mǎyǐ bān Tài Shān
蚂蚁啃骨头	34349	蚂蚁啃骨头	mǎyǐ kěn gǔ·tou
杩	34350	杩（榪）	mà
杩头	34351	杩头	mà·tou
祃	34352	祃（禡）	mà
蚂	34353	蚂（螞）	mà
蚂蚱	34354	蚂蚱	mà·zha
骂	34355	骂（駡、⁎罵、⁎傌）	mà
骂大街	34356	骂大街	mà dàjiē
骂架	34357	骂架	mà//jià
骂街	34358	骂街	mà//jiē
骂骂咧咧	34359	骂骂咧咧	mà·maliēliē
骂名	34360	骂名	màmíng
骂娘	34361	骂娘	màniáng
骂阵	34362	骂阵	mà//zhèn
么	34363	么（△麽）	·ma
吗	34364	吗（嗎）	·ma
嘛	34365	嘛	·ma
埋	34366	埋	mái
埋藏	34367	埋藏	máicáng
埋单	34368	埋单	mái//dān
埋伏	34369	埋伏	mái·fú
埋名	34370	埋名	máimíng
埋没	34371	埋没	máimò
埋设	34372	埋设	máishè
埋汰	34373	埋汰	mái·tai
埋头	34374	埋头	mái//tóu
埋葬	34375	埋葬	máizàng
埋置	34376	埋置	máizhì
霾	34377	霾	mái
买	34378	买（買）	mǎi
买办	34379	买办	mǎibàn
